name,site,subtypes,category,type,phone,full_address,street,city,postal_code,state,us_state,country_code,latitude,longitude,rating,reviews,reviews_link,photos_count,photo,street_view,working_hours,working_hours_old_format,business_status,about,logo,owner_link,location_link,location_reviews_link,place_id
Tailored Tails Dog Grooming,,Pet groomer,Pet groomer,Pet groomer,,"14608 AL-68, Crossville, AL 35962",14608 AL-68,Crossville,35962,Alabama,Alabama,US,"34,2868221","-85,9993108",5,2,"https://search.google.com/local/reviews?placeid=ChIJD39xUkUNiogRmrfdRR3y8-o&q=pet+groomer,+35061,+Dolomite,+AL,+US&authuser=0&hl=en&gl=US",14,https://lh3.googleusercontent.com/p/AF1QipOw6jogiFC9oGmlC8dtfkLC9yOugCarb7XqhyoP=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipOw6jogiFC9oGmlC8dtfkLC9yOugCarb7XqhyoP=w1600-h1000-k-no,,,OPERATIONAL,{},https://lh6.googleusercontent.com/-Tgl9T3bkn0c/AAAAAAAAAAI/AAAAAAAAAAA/xVpc2f-VKB0/s44-p-k-no-ns-nd/photo.jpg,https://www.google.com/maps/contrib/110695528451405730951,"https://www.google.com/maps/place/Tailored+Tails+Dog+Grooming/@34.2868221,-85.99931079999999,14z/data=!4m8!1m2!2m1!1sTailored+Tails+Dog+Grooming!3m4!1s0x888a0d4552717f0f:0xeaf3f21d45ddb79a!8m2!3d34.2868221!4d-85.99931079999999","https://www.google.com/maps/place/Tailored+Tails+Dog+Grooming/@34.2868221,-85.99931079999999,13.99z/data=!4m16!1m7!3m6!1s0x888a0d4552717f0f:0xeaf3f21d45ddb79a!2sTailored+Tails+Dog+Grooming!8m2!3d34.2868221!4d-85.99931079999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x888a0d4552717f0f:0xeaf3f21d45ddb79a!8m2!3d34.2868221!4d-85.99931079999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJD39xUkUNiogRmrfdRR3y8-o
Dog U Day Spa,https://www.dogudayspa.com/,Pet groomer,Pet groomer,Pet groomer,+1 205-238-5787,"5291 Valleydale Rd Suite 139, Birmingham, AL 35242",5291 Valleydale Rd Suite 139,Birmingham,35242,Alabama,Alabama,US,"33,4136224","-86,699409",5,3,"https://search.google.com/local/reviews?placeid=ChIJxSJPjpYXiYgR3dxxpbUicRo&q=pet+groomer,+35061,+Dolomite,+AL,+US&authuser=0&hl=en&gl=US",7,https://lh3.googleusercontent.com/p/AF1QipMkKrQzkcOYt3wCm2427tlZL2Ngsca4AMA4_N0B=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipMkKrQzkcOYt3wCm2427tlZL2Ngsca4AMA4_N0B=w1600-h1000-k-no,"{""Monday"": ""8AM-4PM"", ""Tuesday"": ""8AM-4PM"", ""Wednesday"": ""8AM-4PM"", ""Thursday"": ""8AM-4PM"", ""Friday"": ""8AM-4PM"", ""Saturday"": ""9AM-1PM"", ""Sunday"": ""Closed""}",Monday:8AM-4PM|Tuesday:8AM-4PM|Wednesday:8AM-4PM|Thursday:8AM-4PM|Friday:8AM-4PM|Saturday:9AM-1PM|Sunday:Closed,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",https://lh3.googleusercontent.com/-VeV9I5tj_B0/AAAAAAAAAAI/AAAAAAAAAAA/7U_AG6hAIeI/s44-p-k-no-ns-nd/photo.jpg,https://www.google.com/maps/contrib/115133098706768074123,"https://www.google.com/maps/place/Dog+U+Day+Spa/@33.4136224,-86.699409,14z/data=!4m8!1m2!2m1!1sDog+U+Day+Spa!3m4!1s0x888917968e4f22c5:0x1a7122b5a571dcdd!8m2!3d33.4136224!4d-86.699409","https://www.google.com/maps/place/Dog+U+Day+Spa/@33.4136224,-86.699409,13.99z/data=!4m16!1m7!3m6!1s0x888917968e4f22c5:0x1a7122b5a571dcdd!2sDog+U+Day+Spa!8m2!3d33.4136224!4d-86.699409!16s%2Fg%2F11ckvg1dmb!3m7!1s0x888917968e4f22c5:0x1a7122b5a571dcdd!8m2!3d33.4136224!4d-86.699409!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJxSJPjpYXiYgR3dxxpbUicRo
Camp Bow Wow,https://www.campbowwow.com/hoover/,"Pet groomer, Pet boarding service, Dog day care center, Pet sitter",Dog day care center,Pet groomer,+1 205-848-2236,"2153 Clearbrook Rd, Hoover, AL 35226",2153 Clearbrook Rd,Hoover,35226,Alabama,Alabama,US,"33,4155067","-86,8443852","4,9",134,"https://search.google.com/local/reviews?placeid=ChIJ26pj4jYfiYgRNYjgP3uz-pU&q=pet+groomer,+35061,+Dolomite,+AL,+US&authuser=0&hl=en&gl=US",66,https://lh3.googleusercontent.com/p/AF1QipMUwc6D_8cw9X4oKcC4U8DR-xdL8rrta7b-hi_8=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipMUwc6D_8cw9X4oKcC4U8DR-xdL8rrta7b-hi_8=w1600-h1000-k-no,"{""Monday"": ""7AM-7PM"", ""Tuesday"": ""7AM-7PM"", ""Wednesday"": ""7AM-7PM"", ""Thursday"": ""7AM-7PM"", ""Friday"": ""7AM-7PM"", ""Saturday"": ""7AM-7PM"", ""Sunday"": ""7-10AM,4-7PM""}","Monday:7AM-7PM|Tuesday:7AM-7PM|Wednesday:7AM-7PM|Thursday:7AM-7PM|Friday:7AM-7PM|Saturday:7AM-7PM|Sunday:7-10AM,4-7PM",OPERATIONAL,"{""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",https://lh4.googleusercontent.com/-P7qc1kJVtcU/AAAAAAAAAAI/AAAAAAAAAAA/6Ny_I3nytU4/s44-p-k-no-ns-nd/photo.jpg,https://www.google.com/maps/contrib/106209340333353176777,"https://www.google.com/maps/place/Camp+Bow+Wow/@33.4155067,-86.84438519999999,14z/data=!4m8!1m2!2m1!1sCamp+Bow+Wow!3m4!1s0x88891f36e263aadb:0x95fab37b3fe08835!8m2!3d33.4155067!4d-86.84438519999999","https://www.google.com/maps/place/Camp+Bow+Wow/@33.4155067,-86.84438519999999,13.99z/data=!4m16!1m7!3m6!1s0x88891f36e263aadb:0x95fab37b3fe08835!2sCamp+Bow+Wow!8m2!3d33.4155067!4d-86.84438519999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x88891f36e263aadb:0x95fab37b3fe08835!8m2!3d33.4155067!4d-86.84438519999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJ26pj4jYfiYgRNYjgP3uz-pU
Rub-a-Dub-Dog Bathhouse and Spa,,Pet groomer,Pet groomer,Pet groomer,+1 205-870-5085,"1917 Oxmoor Rd Suite 100, Homewood, AL 35209",1917 Oxmoor Rd Suite 100,Homewood,35209,Alabama,Alabama,US,"33,4781343","-86,7883488","4,8",191,"https://search.google.com/local/reviews?placeid=ChIJiR0uFHsZiYgRtr8ch2TwZHQ&q=pet+groomer,+35062,+Dora,+AL,+US&authuser=0&hl=en&gl=US",58,https://lh3.googleusercontent.com/p/AF1QipPIQfoIB-b3uSDH5f11TLd3bmsWVX5MMLNxgwi8=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipPIQfoIB-b3uSDH5f11TLd3bmsWVX5MMLNxgwi8=w1600-h1000-k-no,"{""Monday"": ""8:30AM-4:30PM"", ""Tuesday"": ""8:30AM-4:30PM"", ""Wednesday"": ""8:30AM-4:30PM"", ""Thursday"": ""8:30AM-4:30PM"", ""Friday"": ""8:30AM-4:30PM"", ""Saturday"": ""8:30AM-2PM"", ""Sunday"": ""Closed""}",Monday:8:30AM-4:30PM|Tuesday:8:30AM-4:30PM|Wednesday:8:30AM-4:30PM|Thursday:8:30AM-4:30PM|Friday:8:30AM-4:30PM|Saturday:8:30AM-2PM|Sunday:Closed,OPERATIONAL,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Onsite services"": true, ""Language assistance"": ""English, Spanish""}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}, ""Parking"": {""Free parking lot"": true, ""On-site parking"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as women-owned"": true}}",https://lh3.googleusercontent.com/-JY57uLpvFtk/AAAAAAAAAAI/AAAAAAAAAAA/hwg9GeC74w4/s44-p-k-no-ns-nd/photo.jpg,https://www.google.com/maps/contrib/117870927137759223006,"https://www.google.com/maps/place/Rub-a-Dub-Dog+Bathhouse+and+Spa/@33.4781343,-86.7883488,14z/data=!4m8!1m2!2m1!1sRub-a-Dub-Dog+Bathhouse+and+Spa!3m4!1s0x8889197b142e1d89:0x7464f064871cbfb6!8m2!3d33.4781343!4d-86.7883488","https://www.google.com/maps/place/Rub-a-Dub-Dog+Bathhouse+and+Spa/@33.4781343,-86.7883488,13.99z/data=!4m16!1m7!3m6!1s0x8889197b142e1d89:0x7464f064871cbfb6!2sRub-a-Dub-Dog+Bathhouse+and+Spa!8m2!3d33.4781343!4d-86.7883488!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8889197b142e1d89:0x7464f064871cbfb6!8m2!3d33.4781343!4d-86.7883488!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJiR0uFHsZiYgRtr8ch2TwZHQ
Wags & Whiskers,,"Pet groomer, Pet boarding service",Pet groomer,Pet groomer,+1 205-295-5411,"1606 Hwy 78 W, Jasper, AL 35501",1606 Hwy 78 W,Jasper,35501,Alabama,Alabama,US,"33,8506087","-87,294331","4,6",128,"https://search.google.com/local/reviews?placeid=ChIJx3j7FBdhiIgRvdAlxsNPYqo&q=pet+groomer,+35062,+Dora,+AL,+US&authuser=0&hl=en&gl=US",14,https://lh3.googleusercontent.com/p/AF1QipOeqnmIcQrlbTdcBa0rR0nk160pjne4DenUDIS8=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipOeqnmIcQrlbTdcBa0rR0nk160pjne4DenUDIS8=w1600-h1000-k-no,"{""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""8-10AM"", ""Sunday"": ""Closed""}",Monday:8AM-5PM|Tuesday:8AM-5PM|Wednesday:8AM-5PM|Thursday:8AM-5PM|Friday:8AM-5PM|Saturday:8-10AM|Sunday:Closed,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}, ""Payments"": {""Debit cards"": true, ""NFC mobile payments"": true, ""Credit cards"": true}}",https://lh4.googleusercontent.com/-EU_P45xUtXs/AAAAAAAAAAI/AAAAAAAAAAA/nMrd5fqzDmI/s44-p-k-no-ns-nd/photo.jpg,https://www.google.com/maps/contrib/109680044573856717881,"https://www.google.com/maps/place/Wags+%26+Whiskers/@33.850608699999995,-87.294331,14z/data=!4m8!1m2!2m1!1sWags+%26+Whiskers!3m4!1s0x8888611714fb78c7:0xaa624fc3c625d0bd!8m2!3d33.850608699999995!4d-87.294331","https://www.google.com/maps/place/Wags+%26+Whiskers/@33.850608699999995,-87.294331,13.99z/data=!4m16!1m7!3m6!1s0x8888611714fb78c7:0xaa624fc3c625d0bd!2sWags+%26+Whiskers!8m2!3d33.850608699999995!4d-87.294331!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8888611714fb78c7:0xaa624fc3c625d0bd!8m2!3d33.850608699999995!4d-87.294331!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJx3j7FBdhiIgRvdAlxsNPYqo
The Poodle Patch,,Pet groomer,Pet groomer,Pet groomer,+1 205-302-8718,"1073 Old Town Rd, Empire, AL 35063",1073 Old Town Rd,Empire,35063,Alabama,Alabama,US,"33,8312198","-87,0586252",,,,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=k0tGvy8_NK3uSEZndTquag&cb_client=search.gws-prod.gps&w=800&h=500&yaw=253.97296&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=k0tGvy8_NK3uSEZndTquag&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=253.97296&pitch=0&thumbfov=100,"{""Monday"": ""Closed"", ""Tuesday"": ""10AM-2AM"", ""Wednesday"": ""10AM-2AM"", ""Thursday"": ""10AM-2AM"", ""Friday"": ""10AM-4AM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:Closed|Tuesday:10AM-2AM|Wednesday:10AM-2AM|Thursday:10AM-2AM|Friday:10AM-4AM|Saturday:Closed|Sunday:Closed,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}",https://lh3.googleusercontent.com/-jvVZ8ohx-Jg/AAAAAAAAAAI/AAAAAAAAAAA/pc9U4KfgfUU/s44-p-k-no-ns-nd/photo.jpg,https://www.google.com/maps/contrib/117205406920221513323,"https://www.google.com/maps/place/The+Poodle+Patch/@33.8312198,-87.0586252,14z/data=!4m8!1m2!2m1!1sThe+Poodle+Patch!3m4!1s0x8888575a754e734f:0x351991536424f1ab!8m2!3d33.8312198!4d-87.0586252","https://www.google.com/maps/place/The+Poodle+Patch/@33.8312198,-87.0586252,13.99z/data=!4m16!1m7!3m6!1s0x8888575a754e734f:0x351991536424f1ab!2sThe+Poodle+Patch!8m2!3d33.8312198!4d-87.0586252!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8888575a754e734f:0x351991536424f1ab!8m2!3d33.8312198!4d-87.0586252!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJT3NOdVpXiIgRq_EkZFORGTU
MaeMae's Paws,http://www.maemaespaws.com/,Pet groomer,Pet groomer,Pet groomer,+1 256-735-3926,"1399 AL-69, Hanceville, AL 35077",1399 AL-69,Hanceville,35077,Alabama,Alabama,US,"34,040306","-86,8837966","4,7",38,"https://search.google.com/local/reviews?placeid=ChIJ-f_PxL20iYgRN2V8xkhLodo&q=pet+groomer,+35070,+Garden+City,+AL,+US&authuser=0&hl=en&gl=US",17,https://lh3.googleusercontent.com/p/AF1QipPv15dP3oURB-zYf6tZf-O_1E2PAzs_1nJbFCGn=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipPv15dP3oURB-zYf6tZf-O_1E2PAzs_1nJbFCGn=w1600-h1000-k-no,"{""Monday"": ""7:30AM-6:30PM"", ""Tuesday"": ""7:30AM-6:30PM"", ""Wednesday"": ""7:30AM-6:30PM"", ""Thursday"": ""7:30AM-6:30PM"", ""Friday"": ""7:30AM-6:30PM"", ""Saturday"": ""7:30AM-6:30PM"", ""Sunday"": ""7:30AM-6:30PM""}",Monday:7:30AM-6:30PM|Tuesday:7:30AM-6:30PM|Wednesday:7:30AM-6:30PM|Thursday:7:30AM-6:30PM|Friday:7:30AM-6:30PM|Saturday:7:30AM-6:30PM|Sunday:7:30AM-6:30PM,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",https://lh6.googleusercontent.com/-FfChmTRDGL0/AAAAAAAAAAI/AAAAAAAAAAA/WNmBpLD3CIY/s44-p-k-no-ns-nd/photo.jpg,https://www.google.com/maps/contrib/111781742120356261922,"https://www.google.com/maps/place/MaeMae%27s+Paws/@34.040306,-86.8837966,14z/data=!4m8!1m2!2m1!1sMaeMae%27s+Paws!3m4!1s0x8889b4bdc4cffff9:0xdaa14b48c67c6537!8m2!3d34.040306!4d-86.8837966","https://www.google.com/maps/place/MaeMae%27s+Paws/@34.040306,-86.8837966,13.99z/data=!4m16!1m7!3m6!1s0x8889b4bdc4cffff9:0xdaa14b48c67c6537!2sMaeMae%27s+Paws!8m2!3d34.040306!4d-86.8837966!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8889b4bdc4cffff9:0xdaa14b48c67c6537!8m2!3d34.040306!4d-86.8837966!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJ-f_PxL20iYgRN2V8xkhLodo
Spa 4Paws,,Pet groomer,Pet groomer,Pet groomer,+1 256-590-2040,"396 Brooklyn Rd, Holly Pond, AL 35083",396 Brooklyn Rd,Holly Pond,35083,Alabama,Alabama,US,"34,1802402","-86,6151719","4,9",40,"https://search.google.com/local/reviews?placeid=ChIJWV96Sp_BiYgRkYmXXORLbeI&q=pet+groomer,+35070,+Garden+City,+AL,+US&authuser=0&hl=en&gl=US",24,https://lh3.googleusercontent.com/p/AF1QipOz2RfbvsVeKKlvIUVj6MxsCJZSRuiUCcM4B0Ma=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipOz2RfbvsVeKKlvIUVj6MxsCJZSRuiUCcM4B0Ma=w1600-h1000-k-no,"{""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:8AM-5PM|Tuesday:8AM-5PM|Wednesday:8AM-5PM|Thursday:8AM-5PM|Friday:8AM-5PM|Saturday:Closed|Sunday:Closed,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",https://lh6.googleusercontent.com/-uZew-MpgRsI/AAAAAAAAAAI/AAAAAAAAAAA/w7CXQxLOrmM/s44-p-k-no-ns-nd/photo.jpg,https://www.google.com/maps/contrib/118239336504197935674,"https://www.google.com/maps/place/Spa+4Paws/@34.1802402,-86.61517189999999,14z/data=!4m8!1m2!2m1!1sSpa+4Paws!3m4!1s0x8889c19f4a7a5f59:0xe26d4be45c978991!8m2!3d34.1802402!4d-86.61517189999999","https://www.google.com/maps/place/Spa+4Paws/@34.1802402,-86.61517189999999,13.99z/data=!4m16!1m7!3m6!1s0x8889c19f4a7a5f59:0xe26d4be45c978991!2sSpa+4Paws!8m2!3d34.1802402!4d-86.61517189999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8889c19f4a7a5f59:0xe26d4be45c978991!8m2!3d34.1802402!4d-86.61517189999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJWV96Sp_BiYgRkYmXXORLbeI
Sandy's Doggie Parlor,,Pet care service,Pet care service,Pet care service,,"3420 Co Hwy 13, Locust Fork, AL 35097",3420 Co Hwy 13,Locust Fork,35097,Alabama,Alabama,US,"33,914606","-86,6353844","4,8",13,"https://search.google.com/local/reviews?placeid=ChIJq6p20DujiYgRtP0s48jSnIY&q=pet+groomer,+35070,+Garden+City,+AL,+US&authuser=0&hl=en&gl=US",1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Vy72vfvLGpdUG1AGyn7KkA&cb_client=search.gws-prod.gps&w=800&h=500&yaw=220.02487&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Vy72vfvLGpdUG1AGyn7KkA&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=220.02487&pitch=0&thumbfov=100,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}",,,"https://www.google.com/maps/place/Sandy%27s+Doggie+Parlor/@33.914606,-86.63538439999999,14z/data=!4m8!1m2!2m1!1sSandy%27s+Doggie+Parlor!3m4!1s0x8889a33bd076aaab:0x869cd2c8e32cfdb4!8m2!3d33.914606!4d-86.63538439999999","https://www.google.com/maps/place/Sandy%27s+Doggie+Parlor/@33.914606,-86.63538439999999,13.99z/data=!4m16!1m7!3m6!1s0x8889a33bd076aaab:0x869cd2c8e32cfdb4!2sSandy%27s+Doggie+Parlor!8m2!3d33.914606!4d-86.63538439999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8889a33bd076aaab:0x869cd2c8e32cfdb4!8m2!3d33.914606!4d-86.63538439999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJq6p20DujiYgRtP0s48jSnIY
Charlene's PET GROOMING,,Pet care service,Pet care service,Pet care service,,"369 Scott Rd, Alexander City, AL 35010",369 Scott Rd,Alexander City,35010,Alabama,Alabama,US,"32,9401659","-85,9328376",,,,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AhZtpWurNQG8bcH35YcmvA&cb_client=search.gws-prod.gps&w=800&h=500&yaw=82.835915&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AhZtpWurNQG8bcH35YcmvA&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=82.835915&pitch=0&thumbfov=100,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}",,,"https://www.google.com/maps/place/Charlene%27s+PET+GROOMING/@32.9401659,-85.9328376,14z/data=!4m8!1m2!2m1!1sCharlene%27s+PET+GROOMING!3m4!1s0x888c0b4b79265081:0x6b1da3181cc61126!8m2!3d32.9401659!4d-85.9328376","https://www.google.com/maps/place/Charlene%27s+PET+GROOMING/@32.9401659,-85.9328376,13.99z/data=!4m16!1m7!3m6!1s0x888c0b4b79265081:0x6b1da3181cc61126!2sCharlene%27s+PET+GROOMING!8m2!3d32.9401659!4d-85.9328376!16s%2Fg%2F11ckvg1dmb!3m7!1s0x888c0b4b79265081:0x6b1da3181cc61126!8m2!3d32.9401659!4d-85.9328376!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJgVAmeUsLjIgRJhHGHBijHWs
Lake Martin Paw Pals LLC,https://lakemartinpawpalsllc.mypixieset.com/,Dog day care center,Dog day care center,Dog day care center,+1 256-392-5664,"792 Commerce Dr suite 102, Alexander City, AL 35010",792 Commerce Dr suite 102,Alexander City,35010,Alabama,Alabama,US,"32,9363548","-85,9701432",5,23,"https://search.google.com/local/reviews?placeid=ChIJxbZ6R1kLjIgRbzidqje5i84&q=pet+groomer,+35072,+Goodwater,+AL,+US&authuser=0&hl=en&gl=US",13,https://lh3.googleusercontent.com/p/AF1QipNhKHUEmbZ6gnITYGmsT9SF_EOrA6Y4LJUr7J9d=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipNhKHUEmbZ6gnITYGmsT9SF_EOrA6Y4LJUr7J9d=w1600-h1000-k-no,"{""Monday"": ""8AM-5:30PM"", ""Tuesday"": ""8AM-5:30PM"", ""Wednesday"": ""8AM-5:30PM"", ""Thursday"": ""8AM-5:30PM"", ""Friday"": ""8AM-5:30PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:8AM-5:30PM|Tuesday:8AM-5:30PM|Wednesday:8AM-5:30PM|Thursday:8AM-5:30PM|Friday:8AM-5:30PM|Saturday:Closed|Sunday:Closed,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",https://lh3.googleusercontent.com/-KtYoPkCoLQM/AAAAAAAAAAI/AAAAAAAAAAA/J0qJ8wtWe4c/s44-p-k-no-ns-nd/photo.jpg,https://www.google.com/maps/contrib/102514273588785034857,"https://www.google.com/maps/place/Lake+Martin+Paw+Pals+LLC/@32.9363548,-85.9701432,14z/data=!4m8!1m2!2m1!1sLake+Martin+Paw+Pals+LLC!3m4!1s0x888c0b59477ab6c5:0xce8bb937aa9d386f!8m2!3d32.9363548!4d-85.9701432","https://www.google.com/maps/place/Lake+Martin+Paw+Pals+LLC/@32.9363548,-85.9701432,13.99z/data=!4m16!1m7!3m6!1s0x888c0b59477ab6c5:0xce8bb937aa9d386f!2sLake+Martin+Paw+Pals+LLC!8m2!3d32.9363548!4d-85.9701432!16s%2Fg%2F11ckvg1dmb!3m7!1s0x888c0b59477ab6c5:0xce8bb937aa9d386f!8m2!3d32.9363548!4d-85.9701432!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJxbZ6R1kLjIgRbzidqje5i84
Chain Saw Sales & Services,https://www.griffinsopess.com/,Saw sharpening service,Saw sharpening service,Saw sharpening service,+1 256-839-6607,"2600 AL-9, Goodwater, AL 35072",2600 AL-9,Goodwater,35072,Alabama,Alabama,US,"33,0269931","-86,0591614","4,8",18,"https://search.google.com/local/reviews?placeid=ChIJM5Qxg8r3i4gRedNBlcl3m_E&q=pet+groomer,+35072,+Goodwater,+AL,+US&authuser=0&hl=en&gl=US",3,https://lh3.googleusercontent.com/p/AF1QipM45K07NHI4WERzd2V00u906MgsTS6aVV_hgIOE=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipM45K07NHI4WERzd2V00u906MgsTS6aVV_hgIOE=w1600-h1000-k-no,"{""Monday"": ""8AM-4:30PM"", ""Tuesday"": ""8AM-4:30PM"", ""Wednesday"": ""8AM-4:30PM"", ""Thursday"": ""8AM-4:30PM"", ""Friday"": ""8AM-4:30PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:8AM-4:30PM|Tuesday:8AM-4:30PM|Wednesday:8AM-4:30PM|Thursday:8AM-4:30PM|Friday:8AM-4:30PM|Saturday:Closed|Sunday:Closed,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,,"https://www.google.com/maps/place/Chain+Saw+Sales+%26+Services/@33.0269931,-86.0591614,14z/data=!4m8!1m2!2m1!1sChain+Saw+Sales+%26+Services!3m4!1s0x888bf7ca83319433:0xf19b77c99541d379!8m2!3d33.0269931!4d-86.0591614","https://www.google.com/maps/place/Chain+Saw+Sales+%26+Services/@33.0269931,-86.0591614,13.99z/data=!4m16!1m7!3m6!1s0x888bf7ca83319433:0xf19b77c99541d379!2sChain+Saw+Sales+%26+Services!8m2!3d33.0269931!4d-86.0591614!16s%2Fg%2F11ckvg1dmb!3m7!1s0x888bf7ca83319433:0xf19b77c99541d379!8m2!3d33.0269931!4d-86.0591614!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJM5Qxg8r3i4gRedNBlcl3m_E
